date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2022-12-22,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,594.4,36258.4,597.85,36468.85,548.0,33428.0,552.6,33708.6
2022-12-22,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.06,48.72,4.08,48.96,3.87,46.44,3.9,46.8
2022-12-22,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,401.02,4010.2,402.26,4022.6,387.8,3878.0,391.92,3919.2
2022-12-22,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,387.57,5813.55,390.25,5853.75,384.23,5763.45,386.92,5803.8
2022-12-22,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,61.8,6180.0,62.05,6205.0,58.55,5855.0,58.95,5895.0
2022-12-23,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,540.0,32940.0,549.95,33546.95,497.4,30341.4,499.65,30478.65
2022-12-23,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.84,46.08,3.95,47.4,3.71,44.52,3.87,46.44
2022-12-23,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,387.6,3876.0,387.65,3876.5,374.28,3742.8,375.97,3759.7
2022-12-23,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,381.54,5723.1,384.13,5761.95,375.27,5629.05,375.92,5638.8
2022-12-23,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,58.3,5830.0,58.35,5835.0,53.2,5320.0,53.65,5365.0
2022-12-24,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,540.0,32940.0,549.95,33546.95,497.4,30341.4,499.65,30478.65
2022-12-24,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.84,46.08,3.95,47.4,3.71,44.52,3.87,46.44
2022-12-24,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,387.6,3876.0,387.65,3876.5,374.28,3742.8,375.97,3759.7
2022-12-24,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,381.54,5723.1,384.13,5761.95,375.27,5629.05,375.92,5638.8
2022-12-24,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,58.3,5830.0,58.35,5835.0,53.2,5320.0,53.65,5365.0
2022-12-25,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,540.0,32940.0,549.95,33546.95,497.4,30341.4,499.65,30478.65
2022-12-25,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.84,46.08,3.95,47.4,3.71,44.52,3.87,46.44
2022-12-25,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,387.6,3876.0,387.65,3876.5,374.28,3742.8,375.97,3759.7
2022-12-25,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,381.54,5723.1,384.13,5761.95,375.27,5629.05,375.92,5638.8
2022-12-25,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,58.3,5830.0,58.35,5835.0,53.2,5320.0,53.65,5365.0
2022-12-26,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,505.5,30835.5,524.6,32000.6,492.55,30045.55,524.6,32000.6
2022-12-26,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.82,45.84,4.06,48.72,3.82,45.84,3.95,47.4
2022-12-26,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,375.97,3759.7,388.2,3882.0,373.19,3731.9,382.48,3824.8
2022-12-26,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,375.97,5639.55,379.7,5695.5,374.58,5618.7,378.86,5682.9
2022-12-26,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,53.95,5395.0,59.75,5975.0,53.45,5345.0,58.15,5815.0
2022-12-27,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,544.0,33184.0,550.8,33598.8,542.2,33074.2,550.8,33598.8
2022-12-27,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.0,48.0,4.01,48.12,3.84,46.08,3.93,47.16
2022-12-27,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,389.59,3895.9,394.76,3947.6,385.86,3858.6,391.72,3917.2
2022-12-27,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,379.75,5696.25,385.48,5782.2,378.61,5679.15,384.88,5773.2
2022-12-27,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,59.4,5940.0,60.6,6060.0,58.5,5850.0,58.95,5895.0
2022-12-28,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,578.3,35276.3,578.3,35276.3,572.25,34907.25,578.3,35276.3
2022-12-28,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.9,46.8,3.99,47.88,3.88,46.56,3.95,47.4
2022-12-28,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,391.72,3917.2,393.51,3935.1,388.2,3882.0,388.99,3889.9
2022-12-28,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,384.13,5761.95,387.72,5815.8,381.44,5721.6,386.17,5792.55
2022-12-28,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,58.5,5850.0,60.8,6080.0,57.85,5785.0,60.15,6015.0
2022-12-29,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,600.0,36600.0,607.2,37039.2,585.6,35721.6,605.2,36917.2
2022-12-29,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.91,46.92,3.99,47.88,3.88,46.56,3.96,47.52
2022-12-29,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,387.1,3871.0,387.75,3877.5,380.64,3806.4,383.52,3835.2
2022-12-29,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,384.28,5764.2,390.01,5850.15,383.09,5746.35,388.86,5832.9
2022-12-29,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,59.5,5950.0,61.55,6155.0,59.0,5900.0,60.85,6085.0
2022-12-30,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,614.0,37454.0,627.8,38295.8,609.0,37149.0,617.65,37676.65
2022-12-30,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.97,47.64,4.04,48.48,3.9,46.8,3.95,47.4
2022-12-30,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,388.59,3885.9,389.69,3896.9,384.67,3846.7,385.71,3857.1
2022-12-30,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,394.43,5916.45,389.96,5849.4,391.0,5865.0
2022-12-30,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,61.0,6100.0,61.45,6145.0,59.0,5900.0,59.3,5930.0
2022-12-31,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,614.0,37454.0,627.8,38295.8,609.0,37149.0,617.65,37676.65
2022-12-31,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.97,47.64,4.04,48.48,3.9,46.8,3.95,47.4
2022-12-31,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,388.59,3885.9,389.69,3896.9,384.67,3846.7,385.71,3857.1
2022-12-31,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,394.43,5916.45,389.96,5849.4,391.0,5865.0
2022-12-31,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,61.0,6100.0,61.45,6145.0,59.0,5900.0,59.3,5930.0
2023-01-01,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,614.0,37454.0,627.8,38295.8,609.0,37149.0,617.65,37676.65
2023-01-01,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.97,47.64,4.04,48.48,3.9,46.8,3.95,47.4
2023-01-01,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,388.59,3885.9,389.69,3896.9,384.67,3846.7,385.71,3857.1
2023-01-01,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.2,5868.0,394.43,5916.45,389.96,5849.4,391.0,5865.0
2023-01-01,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,61.0,6100.0,61.45,6145.0,59.0,5900.0,59.3,5930.0
2023-01-02,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,618.45,37725.45,623.3,38021.3,598.0,36478.0,603.95,36840.95
2023-01-02,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,3.95,47.4,4.08,48.96,3.95,47.4,4.04,48.48
2023-01-02,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,389.59,3895.9,393.56,3935.6,388.34,3883.4,392.37,3923.7
2023-01-02,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,390.95,5864.25,392.0,5880.0,388.66,5829.9,391.3,5869.5
2023-01-02,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,60.65,6065.0,60.7,6070.0,59.8,5980.0,60.3,6030.0
2023-01-03,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,606.4,36990.4,611.85,37322.85,595.05,36298.05,600.3,36618.3
2023-01-03,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.04,48.48,4.1,49.2,4.02,48.24,4.04,48.48
2023-01-03,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,393.07,3930.7,395.75,3957.5,390.58,3905.8,391.57,3915.7
2023-01-03,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,391.6,5874.0,396.03,5940.45,390.01,5850.15,395.18,5927.7
2023-01-03,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,58.85,5885.0,59.55,5955.0,57.3,5730.0,58.95,5895.0
